Entity,GDP per capita (USD),Life satisfaction
Chile,24173.064,6.67
China,11851.404,5.14
Colombia,13852.242,6.477
Comoros,2996.3794,3.956
Congo,5552.8447,3.989
Costa Rica,18669.096,7.226
Cote d'Ivoire,4225.9556,3.655
Croatia,24072.44,5.759
Cyprus,26826.592,6.505
Czechia,33136.48,4.517
Democratic Republic of Congo,34386.703,7.527
Denmark,1029.7908,4.369
Djibouti,52048.336,4.885
Dominican Republic,4238.9443,4.194
Ecuador,12216.532,4.867
Egypt,14499.631,4.512
El Salvador,14322.658,7.406
Estonia,3266.7317,3.896
Eswatini,12078.475,4.297
Ethiopia,10353.667,6.75
Finland,7990.442,3.656
France,32436.553,4.518
Gabon,30494.096,4.788
Georgia,8193.673,4.8
Germany,1656.6345,7.561
Ghana,32291.504,4.565
Greece,39889.266,5.399
Guatemala,12058.006,4.677
Guinea,44976.777,6.94
Haiti,43021.395,3066.8503
Honduras,15437.265,5177.415
Hong Kong,2038.8025,56359.3
Hungary,12254.6455,26485.412
Iceland,50845.527,50450.742
India,4794.147,5116.629
Indonesia,28129.96,9801.166
Iran,14317.326,13038.555
Iraq,7939.3745,9818.652
Ireland,2061.6948,57668.754
Israel,1740.8967,37204.504
